obs,time,deployment,conductivity,SSP,Depth ,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('85',)",3748835216,11,3.569020033,1484.662288,70.55860749,3767111115,3767111252,3748835216,0,internal_timestamp,71.05500031,1539846416,33.77299881,0,8.652400017,1026.539434,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('86',)",3748835216,11,3.569010019,1484.662707,70.55365953,3767111115,3767111252,3748835216,0,internal_timestamp,71.05000305,1539846416,33.77280045,1,8.652600288,1026.539224,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('87',)",3748835216,11,3.569020033,1484.662795,70.5516796,3767111115,3767111252,3748835216,0,internal_timestamp,71.04799652,1539846416,33.77259827,0,8.652700424,1026.539041,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('88',)",3748835216,11,3.569010019,1484.662913,70.54374876,3767111115,3767111252,3748835216,0,internal_timestamp,71.04000092,1539846416,33.77249908,0,8.652799606,1026.538912,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('89',)",3748835216,11,3.569000006,1484.662601,70.53979082,3767111115,3767111252,3748835216,0,internal_timestamp,71.03600311,1539846416,33.77230072,0,8.652799606,1026.538738,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('90',)",3748835216,11,3.568989992,1484.662521,70.53482247,3767111115,3767111252,3748835216,0,internal_timestamp,71.03099823,1539846416,33.77230072,0,8.652799606,1026.538715,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('91',)",3748835216,11,3.568979979,1484.662104,70.53184494,3767111115,3767111252,3748835216,0,internal_timestamp,71.02799988,1539846416,33.77230072,0,8.652700424,1026.538717,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('92',)",3748835216,11,3.568979979,1484.661776,70.52687776,3767111115,3767111252,3748835216,0,internal_timestamp,71.02300262,1539846416,33.7723999,0,8.652600288,1026.538787,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('93',)",3748835217,11,3.568989992,1484.661199,70.5218966,3767111115,3767111252,3748835217,0,internal_timestamp,71.01799774,1539846417,33.77259827,0,8.652400017,1026.538951,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('94',)",3748835217,11,3.568979979,1484.661151,70.51892013,3767111115,3767111252,3748835217,0,internal_timestamp,71.01499939,1539846417,33.77259827,0,8.652400017,1026.538937,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('95',)",3748835217,11,3.568979979,1484.660995,70.51694116,3767111115,3767111252,3748835217,0,internal_timestamp,71.01300049,1539846417,33.77249908,0,8.652400017,1026.53885,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('96',)",3748835217,11,3.568979979,1484.6609,70.51098823,3767111115,3767111252,3748835217,0,internal_timestamp,71.00700378,1539846417,33.77249908,0,8.652400017,1026.538823,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
